Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.05,58.666,55.0,3.666
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.1,52.02,49.0,3.02
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.2,39.302,37.0,2.302
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.05,67.214,64.0,3.214
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.1,58.468,56.0,2.468
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.2,43.912,42.0,1.912
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.05,76.742,74.0,2.742
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.1,68.452,66.0,2.452
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.2,51.644,50.0,1.644
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.05,88.456,86.0,2.456
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.1,77.706,76.0,1.706
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.2,58.798,58.0,0.798
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.05,97.466,96.0,1.466
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.1,87.074,86.0,1.074
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.2,64.67,64.0,0.67
TST_23,Cargo 1,MULTIPLA_5,0.5,0.05,19.949,21.799999999999596,-1.850999999999596
TST_23,Cargo 1,MULTIPLA_5,0.5,0.1,18.997,20.79999999999961,-1.8029999999996107
TST_23,Cargo 1,MULTIPLA_5,0.5,0.2,17.237,18.799999999999645,-1.5629999999996471
TST_23,Cargo 1,MULTIPLA_5,0.6,0.05,22.43,24.0,-1.57
TST_23,Cargo 1,MULTIPLA_5,0.6,0.1,21.493,23.0,-1.507
TST_23,Cargo 1,MULTIPLA_5,0.6,0.2,19.69,21.0,-1.31
