Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio,Eficiencia_Media
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.05,58.728,55.0,3.728,0.531593220338985
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.1,52.17,49.0,3.17,0.5268644067796614
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.2,38.982,37.0,1.982,0.5167966101694927
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.05,67.31,64.0,3.31,0.5344791666666668
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.1,58.75,56.0,2.75,0.528645833333333
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.2,43.818,42.0,1.818,0.5189375000000005
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.05,76.862,74.0,2.862,0.5397499999999977
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.1,68.338,66.0,2.338,0.5324722222222202
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.2,51.48,50.0,1.48,0.5205555555555533
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.05,88.156,86.0,2.156,0.5449166666666667
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.1,77.626,76.0,1.626,0.5338749999999997
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.2,59.2,58.0,1.2,0.5249999999999998
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.05,97.07,96.0,1.07,0.544583333333333
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.1,86.914,86.0,0.914,0.5380833333333336
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.2,64.582,64.0,0.582,0.5242499999999992
TST_23,Cargo 1,MULTIPLA_5,0.5,0.05,19.996,21.799999999999596,-1.8039999999995961,0.10505263157894848
TST_23,Cargo 1,MULTIPLA_5,0.5,0.1,18.977,20.79999999999961,-1.8229999999996107,0.10405263157894862
TST_23,Cargo 1,MULTIPLA_5,0.5,0.2,17.215,18.799999999999645,-1.5849999999996471,0.11657894736842213
TST_23,Cargo 1,MULTIPLA_5,0.6,0.05,22.381,24.0,-1.619,0.09206666666666725
TST_23,Cargo 1,MULTIPLA_5,0.6,0.1,21.519,23.0,-1.481,0.10126666666666716
TST_23,Cargo 1,MULTIPLA_5,0.6,0.2,19.741,21.0,-1.259,0.11606666666666728
TST_23,Cargo 1,MULTIPLA_5,0.7,0.05,25.127,26.400000000000393,-1.273000000000393,0.0939166666666666
TST_23,Cargo 1,MULTIPLA_5,0.7,0.1,24.174,25.40000000000035,-1.2260000000003493,0.09783333333333309
TST_23,Cargo 1,MULTIPLA_5,0.7,0.2,21.333,22.400000000000205,-1.0670000000002038,0.111083333333333
TST_23,Cargo 1,MULTIPLA_5,0.8,0.05,28.66,29.59999999999949,-0.9399999999994907,0.0825
TST_23,Cargo 1,MULTIPLA_5,0.8,0.1,27.725,28.599999999999522,-0.8749999999995234,0.090625
TST_23,Cargo 1,MULTIPLA_5,0.8,0.2,24.754,25.59999999999964,-0.8459999999996398,0.09425
TST_23,Cargo 1,MULTIPLA_5,0.9,0.05,32.311,32.79999999999949,-0.4889999999994907,0.07775
TST_23,Cargo 1,MULTIPLA_5,0.9,0.1,30.371,30.799999999999503,-0.4289999999995016,0.09275
TST_23,Cargo 1,MULTIPLA_5,0.9,0.2,27.4,27.799999999999528,-0.39999999999952707,0.1
TST_23,Cargo 2,MULTIPLA_5,0.5,0.05,20.491,21.799999999999596,-1.3089999999995963,0.13110526315789645
TST_23,Cargo 2,MULTIPLA_5,0.5,0.1,19.625,20.79999999999961,-1.1749999999996108,0.1381578947368438
TST_23,Cargo 2,MULTIPLA_5,0.5,0.2,17.776,18.799999999999645,-1.0239999999996472,0.1461052631578965
TST_23,Cargo 2,MULTIPLA_5,0.6,0.05,23.028,24.0,-0.972,0.135200000000001
TST_23,Cargo 2,MULTIPLA_5,0.6,0.1,21.898,23.0,-1.102,0.1265333333333344
TST_23,Cargo 2,MULTIPLA_5,0.6,0.2,20.048,21.0,-0.952,0.1365333333333341
TST_23,Cargo 2,MULTIPLA_5,0.7,0.05,25.557,26.400000000000393,-0.8430000000003929,0.12974999999999978
TST_23,Cargo 2,MULTIPLA_5,0.7,0.1,24.538,25.40000000000035,-0.8620000000003493,0.12816666666666648
TST_23,Cargo 2,MULTIPLA_5,0.7,0.2,21.666,22.400000000000205,-0.7340000000002037,0.13883333333333328
TST_23,Cargo 2,MULTIPLA_5,0.8,0.05,29.05,29.59999999999949,-0.5499999999994907,0.13125
TST_23,Cargo 2,MULTIPLA_5,0.8,0.1,28.065,28.599999999999522,-0.5349999999995234,0.133125
TST_23,Cargo 2,MULTIPLA_5,0.8,0.2,25.011,25.59999999999964,-0.5889999999996398,0.126375
TST_23,Cargo 2,MULTIPLA_5,0.9,0.05,32.493,32.79999999999949,-0.3069999999994907,0.12325
TST_23,Cargo 2,MULTIPLA_5,0.9,0.1,30.471,30.799999999999503,-0.3289999999995016,0.11775
TST_23,Cargo 2,MULTIPLA_5,0.9,0.2,27.572,27.799999999999528,-0.22799999999952705,0.143
TST_23,Cargo 3,MULTIPLA_5,0.5,0.05,21.659,23.0,-1.341,0.13294999999999946
TST_23,Cargo 3,MULTIPLA_5,0.5,0.1,20.736,22.0,-1.264,0.1367999999999995
TST_23,Cargo 3,MULTIPLA_5,0.5,0.2,18.831,20.0,-1.169,0.14155000000000004
