Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Media_Base,Ganho_Bruto,Eficiencia_Media
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.05,58.452,55.0,55.0,3.452,0.5292542372881368
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.1,51.882,49.0,49.0,2.882,0.5244237288135608
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.2,39.108,37.0,37.0,2.108,0.5178644067796614
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.05,67.164,64.0,64.0,3.164,0.5329583333333333
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.1,58.624,56.0,56.0,2.624,0.5273333333333339
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.2,43.876,42.0,42.0,1.876,0.5195416666666666
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.05,76.724,74.0,74.0,2.724,0.5378333333333309
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.1,68.024,66.0,66.0,2.024,0.5281111111111101
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.2,51.59,50.0,50.0,1.59,0.5220833333333316
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.05,88.378,86.0,86.0,2.378,0.549541666666666
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.1,77.718,76.0,76.0,1.718,0.5357916666666673
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.2,59.038,58.0,58.0,1.038,0.5216250000000001
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.05,97.308,96.0,96.0,1.308,0.5545000000000004
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.1,87.018,86.0,86.0,1.018,0.5424166666666663
