Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Bruto,Ganho_Percentual,Eficiencia_Media
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.05,58.8,55.0,3.799999999999997,0.0644067796610169,0.53220338983051
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.1,52.09,49.0,3.0900000000000034,0.05237288135593226,0.5261864406779674
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.2,39.236,37.0,2.235999999999997,0.03789830508474571,0.5189491525423735
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.05,67.432,64.0,3.432000000000002,0.07150000000000005,0.5357499999999997
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.1,58.642,56.0,2.642000000000003,0.05504166666666673,0.5275208333333333
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.2,43.996,42.0,1.9960000000000022,0.04158333333333338,0.520791666666667
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.05,77.086,74.0,3.0859999999999985,0.08572222222222219,0.5428611111111082
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.1,68.25,66.0,2.25,0.0625,0.5312499999999984
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.2,51.676,50.0,1.676000000000002,0.04655555555555561,0.5232777777777763
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.05,88.044,86.0,2.043999999999997,0.08516666666666654,0.5425833333333335
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.1,77.52,76.0,1.519999999999996,0.06333333333333317,0.5316666666666671
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.2,59.054,58.0,1.054000000000002,0.04391666666666675,0.5219583333333339
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.05,97.412,96.0,1.4120000000000061,0.11766666666666718,0.5588333333333334
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.1,87.11,86.0,1.1099999999999994,0.09249999999999996,0.5462499999999996
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.2,64.872,64.0,0.8719999999999999,0.07266666666666666,0.5363333333333331
TST_23,Cargo 1,MULTIPLA_5,0.5,0.05,19.931,21.799999999999596,1.931000000000001,0.10163157894736848,0.10163157894736953
TST_23,Cargo 1,MULTIPLA_5,0.5,0.1,19.011,20.79999999999961,2.0109999999999992,0.10584210526315785,0.10584210526315907
TST_23,Cargo 1,MULTIPLA_5,0.5,0.2,17.182,18.799999999999645,2.1819999999999986,0.11484210526315781,0.11484210526315904
TST_23,Cargo 1,MULTIPLA_5,0.6,0.05,22.451,24.0,1.4510000000000005,0.09673333333333337,0.09673333333333387
TST_23,Cargo 1,MULTIPLA_5,0.6,0.1,21.493,23.0,1.4929999999999986,0.09953333333333324,0.09953333333333388
TST_23,Cargo 1,MULTIPLA_5,0.6,0.2,19.731,21.0,1.7310000000000016,0.11540000000000011,0.11540000000000057
TST_23,Cargo 1,MULTIPLA_5,0.7,0.05,25.1,26.400000000000393,1.1000000000000014,0.09166666666666679,0.09166666666666651
TST_23,Cargo 1,MULTIPLA_5,0.7,0.1,24.097,25.40000000000035,1.0970000000000013,0.09141666666666677,0.09141666666666662
TST_23,Cargo 1,MULTIPLA_5,0.7,0.2,21.339,22.400000000000205,1.3389999999999986,0.11158333333333322,0.11158333333333295
TST_23,Cargo 1,MULTIPLA_5,0.8,0.05,28.658,29.59999999999949,0.6580000000000013,0.08225000000000016,0.08225
TST_23,Cargo 1,MULTIPLA_5,0.8,0.1,27.75,28.599999999999522,0.75,0.09375,0.09375
TST_23,Cargo 1,MULTIPLA_5,0.8,0.2,24.848,25.59999999999964,0.847999999999999,0.10599999999999987,0.106
TST_23,Cargo 1,MULTIPLA_5,0.9,0.05,32.31,32.79999999999949,0.3100000000000023,0.07750000000000057,0.0775
TST_23,Cargo 1,MULTIPLA_5,0.9,0.1,30.381,30.799999999999503,0.3810000000000002,0.09525000000000006,0.09525
TST_23,Cargo 1,MULTIPLA_5,0.9,0.2,27.373,27.799999999999528,0.3730000000000011,0.09325000000000028,0.09325
TST_23,Cargo 2,MULTIPLA_5,0.5,0.05,20.545,21.799999999999596,2.5450000000000017,0.13394736842105273,0.13394736842105445
TST_23,Cargo 2,MULTIPLA_5,0.5,0.1,19.583,20.79999999999961,2.5829999999999984,0.13594736842105254,0.13594736842105437
TST_23,Cargo 2,MULTIPLA_5,0.5,0.2,17.709,18.799999999999645,2.7089999999999996,0.14257894736842103,0.14257894736842253
TST_23,Cargo 2,MULTIPLA_5,0.6,0.05,22.931,24.0,1.931000000000001,0.1287333333333334,0.12873333333333434
TST_23,Cargo 2,MULTIPLA_5,0.6,0.1,21.967,23.0,1.9669999999999987,0.13113333333333324,0.13113333333333418
TST_23,Cargo 2,MULTIPLA_5,0.6,0.2,20.059,21.0,2.059000000000001,0.13726666666666673,0.13726666666666726
TST_23,Cargo 2,MULTIPLA_5,0.7,0.05,25.501,26.400000000000393,1.5010000000000012,0.12508333333333344,0.12508333333333319
TST_23,Cargo 2,MULTIPLA_5,0.7,0.1,24.555,25.40000000000035,1.5549999999999997,0.1295833333333333,0.12958333333333313
TST_23,Cargo 2,MULTIPLA_5,0.7,0.2,21.647,22.400000000000205,1.6469999999999985,0.13724999999999987,0.13724999999999993
TST_23,Cargo 2,MULTIPLA_5,0.8,0.05,29.033,29.59999999999949,1.0330000000000013,0.12912500000000016,0.129125
TST_23,Cargo 2,MULTIPLA_5,0.8,0.1,28.041,28.599999999999522,1.0410000000000004,0.13012500000000005,0.130125
TST_23,Cargo 2,MULTIPLA_5,0.8,0.2,25.016,25.59999999999964,1.0159999999999982,0.12699999999999978,0.127
TST_23,Cargo 2,MULTIPLA_5,0.9,0.05,32.52,32.79999999999949,0.5200000000000031,0.13000000000000078,0.13
TST_23,Cargo 2,MULTIPLA_5,0.9,0.1,30.504,30.799999999999503,0.5040000000000013,0.12600000000000033,0.126
TST_23,Cargo 2,MULTIPLA_5,0.9,0.2,27.526,27.799999999999528,0.5259999999999998,0.13149999999999995,0.1315
TST_23,Cargo 3,MULTIPLA_5,0.5,0.05,21.79,23.0,2.789999999999999,0.13949999999999996,0.13949999999999965
TST_23,Cargo 3,MULTIPLA_5,0.5,0.1,20.786,22.0,2.7860000000000014,0.13930000000000006,0.13929999999999954
TST_23,Cargo 3,MULTIPLA_5,0.5,0.2,18.835,20.0,2.835000000000001,0.14175000000000004,0.14174999999999985
