Concurso,Cargo,Grupo,Total_Q,Media_Simulada,Media_Aleatoria_Esperada,Mediana,Moda,Minimo,Maximo,Q1,Q3
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,118,68.17028571428571,66.0,68.0,68,52,82,66.0,72.0
TST_23,Cargo 1,MULTIPLA_5,37,24.151714285714284,25.4,24.0,24,23,30,23.0,25.0
TST_23,Cargo 2,MULTIPLA_5,37,24.571142857142856,25.4,24.0,24,23,31,24.0,25.0
TST_23,Cargo 3,MULTIPLA_5,39,26.59542857142857,27.399999999999995,26.0,26,25,34,26.0,27.0
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,96,67.62342857142858,66.79999999999998,67.0,67,62,75,66.0,69.0
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,96,64.45628571428571,66.79999999999998,64.0,64,61,75,63.0,65.0
PC_GO_16,Cargo 2,MULTIPLA_5,39,26.507428571428573,27.399999999999995,26.0,26,25,34,26.0,27.0
PC_GO_16,Cargo 1,MULTIPLA_5,39,27.765428571428572,27.399999999999995,28.0,27,25,33,27.0,29.0
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,116,67.37714285714286,65.0,68.0,66,50,82,64.0,70.0
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,88,60.72457142857143,60.399999999999984,61.0,60,55,68,59.0,62.0
AL_CE_20,Cargo 1,MULTIPLA_5,57,40.805142857142854,39.600000000000016,41.0,41,37,45,40.0,42.0
AL_CE_20,Cargo 2,MULTIPLA_5,40,27.940571428571428,28.399999999999995,28.0,28,26,34,27.0,29.0
AL_CE_20,Cargo 3,MULTIPLA_5,39,27.117714285714285,27.399999999999995,27.0,26,25,34,26.0,28.0
AL_CE_20,Cargo 4,MULTIPLA_5,40,28.031142857142857,28.399999999999995,28.0,28,26,34,27.0,29.0
AL_CE_20,Cargo 5,MULTIPLA_5,39,26.99657142857143,27.399999999999995,27.0,27,25,33,26.0,28.0
AL_CE_20,Cargo 6,MULTIPLA_5,40,29.101142857142857,28.399999999999995,29.0,29,26,34,28.0,30.0
AL_CE_20,Cargo 7,MULTIPLA_5,40,28.095142857142857,28.399999999999995,28.0,27,26,35,27.0,29.0
AL_CE_20,Cargo 8,MULTIPLA_5,39,27.106571428571428,27.399999999999995,27.0,26,25,32,26.0,28.0
AL_CE_20,Cargo 9,MULTIPLA_5,38,26.68257142857143,26.399999999999995,27.0,26,24,32,26.0,27.0
AL_CE_20,Cargo 10,MULTIPLA_5,39,26.395142857142858,27.399999999999995,26.0,26,25,33,26.0,27.0
AL_CE_20,Cargo 11,MULTIPLA_5,40,28.008,28.399999999999995,28.0,28,26,35,27.0,29.0
AL_CE_20,Cargo 12,MULTIPLA_5,39,28.195714285714285,27.399999999999995,28.0,28,25,32,27.0,29.0
AL_CE_20,Cargo 13,MULTIPLA_5,40,28.47085714285714,28.399999999999995,28.0,28,26,34,28.0,29.0
AL_CE_20,Cargo 14,MULTIPLA_5,40,27.42342857142857,28.399999999999995,27.0,27,26,34,27.0,28.0
AL_CE_20,Cargo 15,MULTIPLA_5,37,26.301714285714286,25.4,26.0,26,23,30,26.0,27.0
AL_CE_20,Cargo 16,MULTIPLA_5,39,27.90085714285714,27.399999999999995,28.0,28,25,33,27.0,29.0
AL_CE_20,Cargo 17,MULTIPLA_5,40,28.59857142857143,28.399999999999995,28.0,28,26,34,28.0,29.0
PM_AL_17_SOLDADO,Cargo 1,CERTO_ERRADO,99,59.24171428571429,57.0,59.0,59,47,73,57.0,61.0
PREF_JP_17_CGM,Cargo 4,CERTO_ERRADO,99,58.94,57.0,59.0,61,43,75,57.0,61.0
PREF_JP_17_CGM,Cargo 3,CERTO_ERRADO,99,59.042857142857144,57.0,59.0,61,43,73,57.0,61.0
PREF_JP_17_CGM,Cargo 2,CERTO_ERRADO,96,56.061142857142855,55.0,56.0,54,42,74,52.0,60.0
PREF_JP_17_CGM,Cargo 1,CERTO_ERRADO,95,55.388,54.0,55.0,55,41,71,53.0,59.0
MPC_PA_19_PROCURADOR,Cargo 1,MULTIPLA_5,97,68.40885714285714,67.0,68.0,68,63,74,67.0,69.0
MPS_24,Cargo 1,CERTO_ERRADO,94,51.330285714285715,53.0,50.0,50,36,74,48.0,54.0
TJ_PR_18_JUIZ,Cargo 1,MULTIPLA_4,96,69.59,68.25,70.0,70,64,76,68.0,71.0
MP_GO_24_SERVIDOR,Cargo 1,CERTO_ERRADO,98,56.52628571428571,56.0,56.0,56,42,74,52.0,60.0
MP_GO_24_SERVIDOR,Cargo 2,CERTO_ERRADO,97,56.95657142857143,55.0,57.0,55,41,71,55.0,59.0
MP_GO_24_SERVIDOR,Cargo 3,CERTO_ERRADO,97,55.856,55.0,55.0,53,41,73,53.0,59.0
MP_GO_24_SERVIDOR,Cargo 4,CERTO_ERRADO,97,56.48457142857143,55.0,57.0,57,43,73,53.0,59.0
MP_GO_24_SERVIDOR,Cargo 5,CERTO_ERRADO,98,58.21028571428572,56.0,58.0,58,44,74,56.0,60.0
HUB_17_RESIDENCIA,Cargo 1,CERTO_ERRADO,120,67.14114285714285,68.0,66.0,66,52,88,62.0,70.0
HUB_21_MULTIPROFISSIONAL,Cargo 1,CERTO_ERRADO,57,30.537714285714287,33.0,29.0,29,21,47,27.0,33.0
