Grupo,Conhecimento_Pct,Erro_Pct,Nota_Media_Final,Ganho_Medio
CERTO_ERRADO,0.5,0.05,58.834,3.834
MULTIPLA_5,0.5,0.05,19.9,1.9
MULTIPLA_5,0.5,0.05,20.605,2.605
MULTIPLA_5,0.5,0.05,21.789,2.789
MULTIPLA_5,0.5,0.05,56.803,10.803
MULTIPLA_5,0.5,0.05,52.354,6.354
MULTIPLA_5,0.5,0.05,21.731,2.731
MULTIPLA_5,0.5,0.05,23.548,4.548
CERTO_ERRADO,0.5,0.05,57.766,3.766
MULTIPLA_5,0.5,0.05,51.47,9.47
MULTIPLA_5,0.5,0.05,34.336,7.336
MULTIPLA_5,0.5,0.05,22.465,3.465
MULTIPLA_5,0.5,0.05,22.676,3.676
MULTIPLA_5,0.5,0.05,22.473,3.473
MULTIPLA_5,0.5,0.05,22.534,3.534
MULTIPLA_5,0.5,0.05,23.869,4.869
MULTIPLA_5,0.5,0.05,22.618,3.618
MULTIPLA_5,0.5,0.05,22.69,3.69
MULTIPLA_5,0.5,0.05,23.244,4.244
MULTIPLA_5,0.5,0.05,21.666,2.666
MULTIPLA_5,0.5,0.05,22.559,3.559
MULTIPLA_5,0.5,0.05,24.069,5.069
MULTIPLA_5,0.5,0.05,23.192,4.192
MULTIPLA_5,0.5,0.05,21.782,2.782
MULTIPLA_5,0.5,0.05,22.955,4.955
MULTIPLA_5,0.5,0.05,23.733,4.733
MULTIPLA_5,0.5,0.05,23.308,4.308
CERTO_ERRADO,0.5,0.05,48.402,3.402
CERTO_ERRADO,0.5,0.05,48.008,3.008
CERTO_ERRADO,0.5,0.05,48.016,3.016
CERTO_ERRADO,0.5,0.05,45.816,1.816
CERTO_ERRADO,0.5,0.05,45.186,2.186
MULTIPLA_5,0.5,0.05,57.634,11.634
CERTO_ERRADO,0.5,0.05,40.752,-2.248
MULTIPLA_4,0.5,0.05,59.846,13.846
CERTO_ERRADO,0.5,0.05,45.492,0.492
CERTO_ERRADO,0.5,0.05,46.962,2.962
CERTO_ERRADO,0.5,0.05,45.204,1.204
CERTO_ERRADO,0.5,0.05,46.376,2.376
CERTO_ERRADO,0.5,0.05,48.156,3.156
CERTO_ERRADO,0.5,0.05,52.922,-1.078
CERTO_ERRADO,0.5,0.05,22.694,-3.306
MULTIPLA_5,0.5,0.05,45.149,8.149
MULTIPLA_5,0.5,0.05,46.144,9.144
MULTIPLA_5,0.5,0.05,46.903,8.903
MULTIPLA_5,0.5,0.05,45.845,7.845
MULTIPLA_5,0.5,0.05,46.989,8.989
MULTIPLA_5,0.5,0.05,46.038,8.038
MULTIPLA_5,0.5,0.05,23.007,4.007
MULTIPLA_4,0.5,0.05,50.129,12.129
CERTO_ERRADO,0.5,0.05,45.27,3.27
CERTO_ERRADO,0.5,0.05,47.216,3.216
CERTO_ERRADO,0.5,0.05,30.748,2.748
CERTO_ERRADO,0.5,0.05,30.42,2.42
CERTO_ERRADO,0.5,0.05,29.318,2.318
CERTO_ERRADO,0.5,0.05,27.508,2.508
CERTO_ERRADO,0.5,0.05,35.142,-0.858
CERTO_ERRADO,0.5,0.05,27.248,1.248
CERTO_ERRADO,0.5,0.05,47.716,1.716
