simulacao_id,letra_chutada,nota_liquida,acertos,erros
0,C,43,69,26
1,C,41,68,27
2,C,39,67,28
3,C,41,68,27
4,C,39,67,28
5,C,43,69,26
6,C,41,68,27
7,C,45,70,25
8,C,39,67,28
9,C,49,72,23
10,C,39,67,28
11,C,41,68,27
12,E,59,77,18
13,C,45,70,25
14,C,41,68,27
15,C,43,69,26
16,C,39,67,28
17,C,43,69,26
18,C,51,73,22
19,C,45,70,25
20,E,51,73,22
21,C,51,73,22
22,E,47,71,24
23,E,55,75,20
24,C,43,69,26
25,E,59,77,18
26,C,45,70,25
27,C,47,71,24
28,C,43,69,26
29,C,37,66,29
30,C,37,66,29
31,C,35,65,30
32,C,47,71,24
33,C,41,68,27
34,C,43,69,26
35,C,43,69,26
36,C,43,69,26
37,C,41,68,27
38,C,45,70,25
39,C,45,70,25
40,C,41,68,27
41,C,47,71,24
42,C,41,68,27
43,C,45,70,25
44,C,47,71,24
45,C,41,68,27
46,E,55,75,20
47,E,57,76,19
48,E,61,78,17
49,C,45,70,25
50,C,51,73,22
51,C,47,71,24
52,C,47,71,24
53,C,45,70,25
54,C,45,70,25
55,C,39,67,28
56,E,59,77,18
57,C,41,68,27
58,C,49,72,23
59,C,45,70,25
60,C,51,73,22
61,E,61,78,17
62,C,45,70,25
63,E,49,72,23
64,C,47,71,24
65,E,51,73,22
66,C,37,66,29
67,C,49,72,23
68,E,55,75,20
69,E,53,74,21
70,E,59,77,18
71,C,49,72,23
72,C,47,71,24
73,C,41,68,27
74,C,45,70,25
75,C,43,69,26
76,C,43,69,26
77,C,45,70,25
78,C,41,68,27
79,C,51,73,22
80,C,41,68,27
81,C,55,75,20
82,E,59,77,18
83,E,57,76,19
84,C,49,72,23
85,C,43,69,26
86,C,47,71,24
87,C,49,72,23
88,E,55,75,20
89,E,59,77,18
90,E,59,77,18
91,C,47,71,24
92,C,45,70,25
93,C,45,70,25
94,C,43,69,26
95,C,43,69,26
96,C,43,69,26
97,C,45,70,25
98,C,51,73,22
99,C,47,71,24
100,C,51,73,22
101,C,45,70,25
102,C,43,69,26
103,C,45,70,25
104,C,47,71,24
105,C,45,70,25
106,E,51,73,22
107,C,49,72,23
108,C,41,68,27
109,C,41,68,27
110,E,57,76,19
111,C,43,69,26
112,C,39,67,28
113,C,47,71,24
114,C,43,69,26
115,C,39,67,28
116,C,37,66,29
117,C,45,70,25
118,C,45,70,25
119,C,47,71,24
120,C,41,68,27
121,E,57,76,19
122,E,55,75,20
123,C,41,68,27
124,C,53,74,21
125,C,45,70,25
126,E,55,75,20
127,C,43,69,26
128,C,45,70,25
129,C,45,70,25
130,C,41,68,27
131,C,41,68,27
132,C,49,72,23
133,C,45,70,25
134,C,43,69,26
135,C,37,66,29
136,E,55,75,20
137,E,51,73,22
138,C,47,71,24
139,E,59,77,18
140,C,45,70,25
141,C,47,71,24
142,C,41,68,27
143,C,47,71,24
144,C,37,66,29
145,E,57,76,19
146,E,51,73,22
147,C,45,70,25
148,C,45,70,25
149,C,37,66,29
150,C,45,70,25
151,C,43,69,26
152,C,53,74,21
153,C,43,69,26
154,C,37,66,29
155,C,43,69,26
156,C,37,66,29
157,C,41,68,27
158,C,41,68,27
159,C,41,68,27
160,C,53,74,21
161,E,51,73,22
162,C,41,68,27
163,C,41,68,27
164,C,47,71,24
165,E,47,71,24
166,C,49,72,23
167,C,43,69,26
168,E,63,79,16
169,C,49,72,23
170,C,45,70,25
171,E,51,73,22
172,E,57,76,19
173,C,45,70,25
174,C,43,69,26
175,C,47,71,24
176,C,45,70,25
177,E,59,77,18
178,C,49,72,23
179,C,47,71,24
180,C,45,70,25
181,C,45,70,25
182,C,43,69,26
183,E,53,74,21
184,C,45,70,25
185,C,41,68,27
186,C,37,66,29
187,C,41,68,27
188,C,43,69,26
189,C,43,69,26
190,E,55,75,20
191,C,51,73,22
192,C,45,70,25
193,C,45,70,25
194,C,45,70,25
195,E,59,77,18
196,C,45,70,25
197,E,61,78,17
198,C,47,71,24
199,C,41,68,27
200,C,51,73,22
201,C,41,68,27
202,C,41,68,27
203,E,55,75,20
204,C,41,68,27
205,C,39,67,28
206,C,41,68,27
207,E,57,76,19
208,E,55,75,20
209,C,41,68,27
210,C,43,69,26
211,C,39,67,28
212,C,41,68,27
213,C,51,73,22
214,C,41,68,27
215,C,49,72,23
216,C,49,72,23
217,E,59,77,18
218,C,43,69,26
219,E,57,76,19
220,C,43,69,26
221,C,51,73,22
222,C,53,74,21
223,C,47,71,24
224,C,33,64,31
225,E,57,76,19
226,C,47,71,24
227,C,47,71,24
228,C,37,66,29
229,E,61,78,17
230,C,39,67,28
231,C,41,68,27
232,C,53,74,21
233,E,55,75,20
234,C,43,69,26
235,E,61,78,17
236,C,53,74,21
237,C,55,75,20
238,C,49,72,23
239,E,53,74,21
240,E,55,75,20
241,C,45,70,25
242,C,45,70,25
243,C,53,74,21
244,E,55,75,20
245,C,43,69,26
246,C,47,71,24
247,C,43,69,26
248,C,43,69,26
249,C,45,70,25
250,C,49,72,23
251,C,37,66,29
252,C,41,68,27
253,C,45,70,25
254,C,37,66,29
255,C,45,70,25
256,E,61,78,17
257,C,43,69,26
258,C,41,68,27
259,C,51,73,22
260,C,43,69,26
261,C,47,71,24
262,C,51,73,22
263,C,41,68,27
264,C,43,69,26
265,C,53,74,21
266,C,53,74,21
267,E,53,74,21
268,C,49,72,23
269,C,41,68,27
270,C,47,71,24
271,E,59,77,18
272,C,49,72,23
273,C,47,71,24
274,C,39,67,28
275,C,45,70,25
276,C,39,67,28
277,C,43,69,26
278,C,47,71,24
279,C,51,73,22
280,C,41,68,27
281,E,61,78,17
282,C,41,68,27
283,C,45,70,25
284,C,47,71,24
285,C,39,67,28
286,C,43,69,26
287,C,43,69,26
288,E,53,74,21
289,E,51,73,22
